timestamp,date,activity
04-05-2004 10:00,04-05-2004,5
04-05-2004 10:01,04-05-2004,3
04-05-2004 10:02,04-05-2004,3
04-05-2004 10:03,04-05-2004,3
04-05-2004 10:04,04-05-2004,283
04-05-2004 10:05,04-05-2004,529
04-05-2004 10:06,04-05-2004,8
04-05-2004 10:07,04-05-2004,3
04-05-2004 10:08,04-05-2004,5
04-05-2004 10:09,04-05-2004,3
04-05-2004 10:10,04-05-2004,5
04-05-2004 10:11,04-05-2004,5
04-05-2004 10:12,04-05-2004,3
04-05-2004 10:13,04-05-2004,3
04-05-2004 10:14,04-05-2004,3
04-05-2004 10:15,04-05-2004,3
04-05-2004 10:16,04-05-2004,3
04-05-2004 10:17,04-05-2004,1212
04-05-2004 10:18,04-05-2004,449
04-05-2004 10:19,04-05-2004,96
04-05-2004 10:20,04-05-2004,0
04-05-2004 10:21,04-05-2004,434
04-05-2004 10:22,04-05-2004,313
04-05-2004 10:23,04-05-2004,121
04-05-2004 10:24,04-05-2004,256
04-05-2004 10:25,04-05-2004,161
04-05-2004 10:26,04-05-2004,53
04-05-2004 10:27,04-05-2004,17
04-05-2004 10:28,04-05-2004,96
04-05-2004 10:29,04-05-2004,146
04-05-2004 10:30,04-05-2004,620
04-05-2004 10:31,04-05-2004,1463
04-05-2004 10:32,04-05-2004,582
04-05-2004 10:33,04-05-2004,1212
04-05-2004 10:34,04-05-2004,911
04-05-2004 10:35,04-05-2004,776
04-05-2004 10:36,04-05-2004,1002
04-05-2004 10:37,04-05-2004,582
04-05-2004 10:38,04-05-2004,1212
04-05-2004 10:39,04-05-2004,854
04-05-2004 10:40,04-05-2004,854
04-05-2004 10:41,04-05-2004,464
04-05-2004 10:42,04-05-2004,434
04-05-2004 10:43,04-05-2004,479
04-05-2004 10:44,04-05-2004,156
04-05-2004 10:45,04-05-2004,146
04-05-2004 10:46,04-05-2004,214
04-05-2004 10:47,04-05-2004,911
04-05-2004 10:48,04-05-2004,121
04-05-2004 10:49,04-05-2004,100
04-05-2004 10:50,04-05-2004,141
04-05-2004 10:51,04-05-2004,151
04-05-2004 10:52,04-05-2004,136
04-05-2004 10:53,04-05-2004,70
04-05-2004 10:54,04-05-2004,111
04-05-2004 10:55,04-05-2004,136
04-05-2004 10:56,04-05-2004,131
04-05-2004 10:57,04-05-2004,131
04-05-2004 10:58,04-05-2004,121
04-05-2004 10:59,04-05-2004,76
04-05-2004 11:00,04-05-2004,136
04-05-2004 11:01,04-05-2004,381
04-05-2004 11:02,04-05-2004,1034
04-05-2004 11:03,04-05-2004,854
04-05-2004 11:04,04-05-2004,545
04-05-2004 11:05,04-05-2004,369
04-05-2004 11:06,04-05-2004,828
04-05-2004 11:07,04-05-2004,421
04-05-2004 11:08,04-05-2004,106
04-05-2004 11:09,04-05-2004,334
04-05-2004 11:10,04-05-2004,48
04-05-2004 11:11,04-05-2004,346
04-05-2004 11:12,04-05-2004,18
04-05-2004 11:13,04-05-2004,121
04-05-2004 11:14,04-05-2004,181
04-05-2004 11:15,04-05-2004,96
04-05-2004 11:16,04-05-2004,100
04-05-2004 11:17,04-05-2004,0
04-05-2004 11:18,04-05-2004,0
04-05-2004 11:19,04-05-2004,8
04-05-2004 11:20,04-05-2004,3
04-05-2004 11:21,04-05-2004,17
04-05-2004 11:22,04-05-2004,43
04-05-2004 11:23,04-05-2004,13
04-05-2004 11:24,04-05-2004,20
04-05-2004 11:25,04-05-2004,8
04-05-2004 11:26,04-05-2004,394
04-05-2004 11:27,04-05-2004,1002
04-05-2004 11:28,04-05-2004,941
04-05-2004 11:29,04-05-2004,1290
04-05-2004 11:30,04-05-2004,1212
04-05-2004 11:31,04-05-2004,662
04-05-2004 11:32,04-05-2004,971
04-05-2004 11:33,04-05-2004,90
04-05-2004 11:34,04-05-2004,201
04-05-2004 11:35,04-05-2004,53
04-05-2004 11:36,04-05-2004,100
04-05-2004 11:37,04-05-2004,40
04-05-2004 11:38,04-05-2004,48
04-05-2004 11:39,04-05-2004,18
04-05-2004 11:40,04-05-2004,394
04-05-2004 11:41,04-05-2004,828
04-05-2004 11:42,04-05-2004,1002
04-05-2004 11:43,04-05-2004,564
04-05-2004 11:44,04-05-2004,683
04-05-2004 11:45,04-05-2004,801
04-05-2004 11:46,04-05-2004,1250
04-05-2004 11:47,04-05-2004,1290
04-05-2004 11:48,04-05-2004,941
04-05-2004 11:49,04-05-2004,801
04-05-2004 11:50,04-05-2004,640
04-05-2004 11:51,04-05-2004,751
04-05-2004 11:52,04-05-2004,1002
04-05-2004 11:53,04-05-2004,1375
04-05-2004 11:54,04-05-2004,1375
04-05-2004 11:55,04-05-2004,1212
04-05-2004 11:56,04-05-2004,1375
04-05-2004 11:57,04-05-2004,1250
04-05-2004 11:58,04-05-2004,1290
04-05-2004 11:59,04-05-2004,801
04-05-2004 12:00,04-05-2004,582
04-05-2004 12:01,04-05-2004,106
04-05-2004 12:02,04-05-2004,3
04-05-2004 12:03,04-05-2004,73
04-05-2004 12:04,04-05-2004,883
04-05-2004 12:05,04-05-2004,1067
04-05-2004 12:06,04-05-2004,662
04-05-2004 12:07,04-05-2004,2066
04-05-2004 12:08,04-05-2004,662
04-05-2004 12:09,04-05-2004,369
04-05-2004 12:10,04-05-2004,214
04-05-2004 12:11,04-05-2004,1767
